timestamp,island_id,category_input,category_final,selection_type,generation_time,total_time,status
2025-11-06T15:00:10.606730,2,winter,winter,SPECIFIED,16.127,18.238,success
2025-11-06T15:01:56.537493,75,art,vangogh,RANDOM,16.112,17.848,success
2025-11-06T15:02:27.620286,17,taste,entertainment,RANDOM,52.323,54.271,success
2025-11-06T15:03:39.624439,4,heritage,sinyunbok,RANDOM,44.236,45.916,success
2025-11-06T15:04:50.796844,60,art,dansaekhwa,RANDOM,14.095,15.779,success
2025-11-06T15:05:41.165541,320,taste,wave,RANDOM,10.086,11.755,success
2025-11-06T15:06:43.363359,144,nature,aurora,RANDOM,44.273,45.977,success
2025-11-06T15:08:32.279431,361,art,klimt,RANDOM,14.089,15.765,success
2025-11-06T15:09:30.616795,328,heritage,baekja,RANDOM,10.088,11.600,success
2025-11-06T15:11:24.540805,254,heritage,traditional,RANDOM,12.085,13.727,success
2025-11-06T15:12:25.968733,44,heritage,traditional,RANDOM,8.071,9.686,success
2025-11-06T15:28:05.180423,222,heritage,traditional,RANDOM,12.088,13.961,success
2025-11-06T15:34:44.339940,2,jasu,jasu,SPECIFIED,36.425,38.122,success
2025-11-06T15:36:16.585429,1,jasu,jasu,SPECIFIED,16.106,17.602,success
2025-11-06T15:37:08.991178,112,heritage,jasu,RANDOM,16.117,17.516,success
2025-11-06T15:37:57.113588,13,nature,winter,RANDOM,18.113,19.753,success
2025-11-06T15:38:39.673619,112,nature,canola,RANDOM,48.465,50.170,success
2025-11-06T15:39:47.833792,320,taste,fantasy,RANDOM,46.263,47.899,success
2025-11-06T15:41:05.959324,16,art,vangogh,RANDOM,16.106,17.827,success
2025-11-06T16:11:22.201345,94,nature,camellia,RANDOM,116.660,118.449,success
2025-11-06T16:21:01.458187,315,nature,canola,RANDOM,50.271,51.888,success
2025-11-06T16:23:13.850026,4,nature,autumn,RANDOM,42.279,43.951,success
2025-11-06T16:31:06.519516,1,jasu,jasu,SPECIFIED,38.248,69.057,success
2025-11-06T16:54:46.928403,1,jasu,jasu,SPECIFIED,12.239,13.953,success
2025-11-06T17:25:24.699355,361,nature,aurora,RANDOM,48.327,50.089,success
2025-11-06T17:26:29.955416,205,nature,winter,RANDOM,16.165,17.980,success
2025-11-06T17:26:54.066700,338,nature,aurora,RANDOM,46.233,48.527,success
2025-11-06T17:43:45.157613,315,nature,canola,RANDOM,52.288,54.045,success
2025-11-06T17:44:50.255691,75,nature,autumn,RANDOM,12.088,13.721,success
2025-11-06T17:46:00.100648,4,nature,cherry,RANDOM,16.116,17.703,success
2025-11-06T17:47:25.696425,16,nature,winter,RANDOM,22.190,23.882,success
2025-11-06T17:48:36.077533,25,nature,canola,RANDOM,70.353,71.983,success
2025-11-06T17:56:01.377503,84,nature,winter,RANDOM,16.129,17.994,success
2025-11-06T17:57:50.450465,241,nature,winter,RANDOM,10.081,11.693,success
2025-11-06T17:59:43.882854,1,jasu,jasu,SPECIFIED,50.287,51.776,success
2025-11-06T18:02:23.376566,193,nature,cherry,RANDOM,16.104,17.759,success
2025-11-06T18:04:50.897946,135,nature,canola,RANDOM,50.278,51.980,success
2025-11-07T09:04:32.767015,141,nature,camellia,RANDOM,36.213,37.971,success
2025-11-07T09:16:47.666235,141,nature,autumn,RANDOM,16.131,17.734,success
2025-11-07T09:20:39.136708,361,nature,cherry,RANDOM,14.103,15.758,success
2025-11-07T09:33:22.848377,4,nature,camellia,RANDOM,24.135,26.031,success
2025-11-07T09:41:53.686741,25,nature,camellia,RANDOM,24.150,25.857,success
2025-11-07T09:43:48.580200,361,nature,cherry,RANDOM,20.123,21.730,success
2025-11-07T09:45:04.980984,4,nature,winter,RANDOM,14.086,15.760,success
2025-11-07T10:00:32.519621,4,nature,canola,RANDOM,72.355,74.830,success
2025-11-07T10:08:04.017209,1,winter,winter,SPECIFIED,64.919,80.410,success
2025-11-07T10:16:40.315923,16,nature,canola,RANDOM,94.518,96.136,success
2025-11-07T10:20:58.511146,49,nature,autumn,RANDOM,34.218,35.880,success
2025-11-07T10:22:38.962056,192,nature,autumn,RANDOM,14.087,15.636,success
2025-11-07T10:23:45.120125,16,nature,winter,RANDOM,32.208,33.792,success
2025-11-07T10:25:44.711582,361,nature,aurora,RANDOM,44.262,45.849,success
2025-11-07T10:27:14.833722,4,nature,camellia,RANDOM,36.175,37.736,success
2025-11-07T10:28:18.215929,79,nature,winter,RANDOM,14.116,15.751,success
2025-11-07T10:29:29.377977,325,nature,aurora,RANDOM,76.404,78.003,success
2025-11-07T10:46:36.757757,282,nature,camellia,RANDOM,16.103,17.777,success
2025-11-07T10:47:11.437310,141,nature,cherry,RANDOM,10.080,11.788,success
2025-11-07T10:47:34.576577,330,nature,winter,RANDOM,12.095,13.750,success
2025-11-07T10:47:54.863857,355,nature,camellia,RANDOM,16.094,17.722,success
2025-11-07T10:48:19.234797,169,nature,canola,RANDOM,48.284,49.989,success
2025-11-07T10:49:16.975809,315,nature,camellia,RANDOM,14.096,15.700,success
2025-11-07T10:49:59.169611,44,art,pollock,RANDOM,12.125,13.748,success
2025-11-07T10:50:18.107096,315,art,pollock,RANDOM,12.089,13.722,success
2025-11-07T10:50:43.007143,361,art,monet,RANDOM,84.475,86.071,success
2025-11-07T10:52:16.707978,300,taste,fantasy,RANDOM,68.427,70.068,success
2025-11-07T10:59:22.590480,355,nature,cherry,RANDOM,72.399,74.783,success
2025-11-07T11:00:46.755398,355,art,pollock,RANDOM,26.175,27.792,success
2025-11-07T11:01:22.188655,361,art,pollock,RANDOM,28.157,29.704,success
2025-11-07T11:01:59.055271,244,art,pollock,RANDOM,26.173,27.718,success
2025-11-07T11:02:33.042720,315,nature,autumn,RANDOM,26.169,27.836,success
2025-11-07T11:03:14.906424,355,nature,cherry,RANDOM,26.120,27.673,success
2025-11-07T11:03:50.333272,44,nature,autumn,RANDOM,14.095,15.613,success
2025-11-07T11:04:13.421712,193,nature,camellia,RANDOM,40.258,41.909,success
2025-11-07T11:05:08.698596,75,nature,cherry,RANDOM,30.199,31.764,success
2025-11-07T11:05:48.107899,114,nature,winter,RANDOM,38.297,39.869,success
2025-11-07T11:06:47.275908,359,nature,winter,RANDOM,34.223,35.833,success
2025-11-07T11:08:00.071950,65,nature,winter,RANDOM,34.187,35.838,success
2025-11-07T11:08:43.301470,44,nature,aurora,RANDOM,118.635,120.267,success
2025-11-07T11:10:51.727815,44,nature,aurora,RANDOM,110.661,112.207,success
2025-11-07T11:12:51.434367,355,nature,cherry,RANDOM,34.226,35.830,success
2025-11-07T11:13:36.781269,44,nature,aurora,RANDOM,110.797,112.452,success
2025-11-07T11:15:52.951701,16,nature,aurora,RANDOM,108.562,110.131,success
2025-11-07T11:17:50.549906,104,nature,cherry,RANDOM,30.188,31.712,success
2025-11-07T11:18:29.115543,2,taste,landscape,RANDOM,24.275,25.816,success
2025-11-07T11:19:01.390841,318,taste,wave,RANDOM,50.956,52.492,success
2025-11-07T11:20:39.020472,350,nature,canola,RANDOM,52.290,53.861,success
2025-11-07T11:28:14.599441,44,taste,landscape,RANDOM,14.112,16.004,success
2025-11-07T11:29:08.603749,169,nature,cherry,RANDOM,12.089,13.710,success
2025-11-07T11:30:56.248842,318,nature,aurora,RANDOM,46.243,47.936,success
2025-11-07T11:34:47.929923,75,nature,autumn,RANDOM,10.109,11.652,success
2025-11-07T11:39:01.956250,320,taste,wave,RANDOM,16.107,18.069,success
2025-11-07T11:40:50.761274,318,heritage,sinyunbok,RANDOM,118.623,120.174,success
2025-11-07T11:45:32.381764,318,taste,wave,RANDOM,16.109,18.383,success
2025-11-07T11:47:43.493384,337,taste,entertainment,RANDOM,91.184,93.349,success
2025-11-07T14:17:59.531489,141,nature,cherry,RANDOM,16.117,17.791,success
2025-11-07T14:58:09.824667,141,nature,aurora,RANDOM,48.311,50.098,success
2025-11-07T14:59:58.828656,141,nature,cherry,RANDOM,10.078,11.638,success
2025-11-07T15:00:53.809967,60,nature,camellia,RANDOM,30.189,32.443,success
2025-11-07T15:02:42.275174,137,heritage,baekja,RANDOM,10.067,11.571,success
2025-11-07T15:04:44.750931,75,art,klimt,RANDOM,18.126,19.964,success
2025-11-07T15:10:28.020910,278,heritage,jasu,RANDOM,289.712,291.151,success
2025-11-07T15:16:53.197334,193,taste,sumuk,RANDOM,80.402,81.882,success
2025-11-07T15:22:23.194875,44,taste,wave,RANDOM,130.964,132.706,success
2025-11-07T15:36:50.663084,193,taste,wave,RANDOM,14.141,15.802,success
2025-11-07T15:38:36.733027,44,art,dansaekhwa,RANDOM,12.120,13.761,success
2025-11-07T16:57:08.119991,361,art,monet,RANDOM,289.489,291.230,success
2025-11-07T17:22:56.299957,44,nature,camellia,RANDOM,22.149,23.840,success
2025-11-07T17:29:35.946840,1,winter,winter,SPECIFIED,14.136,15.949,success
2025-11-07T17:29:37.825204,39,taste,landscape,RANDOM,22.133,23.833,success
2025-11-07T17:36:44.675589,230,art,origami,RANDOM,44.285,45.997,success
2025-11-07T17:52:58.568990,278,nature,aurora,RANDOM,98.504,100.497,success
